date,dcoilwtico,year,month,day,dayofweek,weekofyear,is_weekend,quarter,is_month_start,is_month_end,season
2016-04-07,37.3,2016,4,7,3,14,0,2,0,0,1
2016-04-08,39.74,2016,4,8,4,14,0,2,0,0,1
2016-04-11,40.46,2016,4,11,0,15,0,2,0,0,1
2016-04-12,42.12,2016,4,12,1,15,0,2,0,0,1
2016-04-13,41.7,2016,4,13,2,15,0,2,0,0,1
2016-04-14,41.45,2016,4,14,3,15,0,2,0,0,1
2016-04-15,40.4,2016,4,15,4,15,0,2,0,0,1
2016-04-18,39.74,2016,4,18,0,16,0,2,0,0,1
2016-04-19,40.88,2016,4,19,1,16,0,2,0,0,1
2016-04-20,42.72,2016,4,20,2,16,0,2,0,0,1
2016-04-21,43.18,2016,4,21,3,16,0,2,0,0,1
2016-04-22,42.76,2016,4,22,4,16,0,2,0,0,1
2016-04-25,41.67,2016,4,25,0,17,0,2,0,0,1
2016-04-26,42.52,2016,4,26,1,17,0,2,0,0,1
2016-04-27,45.29,2016,4,27,2,17,0,2,0,0,1
2016-04-28,46.03,2016,4,28,3,17,0,2,0,0,1
2016-04-29,45.98,2016,4,29,4,17,0,2,0,0,1
2016-05-02,44.75,2016,5,2,0,18,0,2,0,0,1
2016-05-03,43.65,2016,5,3,1,18,0,2,0,0,1
2016-05-04,43.77,2016,5,4,2,18,0,2,0,0,1
2016-05-05,44.33,2016,5,5,3,18,0,2,0,0,1
2016-05-06,44.58,2016,5,6,4,18,0,2,0,0,1
2016-05-09,43.45,2016,5,9,0,19,0,2,0,0,1
2016-05-10,44.68,2016,5,10,1,19,0,2,0,0,1
2016-05-11,46.21,2016,5,11,2,19,0,2,0,0,1
2016-05-12,46.64,2016,5,12,3,19,0,2,0,0,1
2016-05-13,46.22,2016,5,13,4,19,0,2,0,0,1
2016-05-16,47.72,2016,5,16,0,20,0,2,0,0,1
2016-05-17,48.29,2016,5,17,1,20,0,2,0,0,1
2016-05-18,48.12,2016,5,18,2,20,0,2,0,0,1
2016-05-19,48.16,2016,5,19,3,20,0,2,0,0,1
2016-05-20,47.67,2016,5,20,4,20,0,2,0,0,1
2016-05-23,48.12,2016,5,23,0,21,0,2,0,0,1
2016-05-24,48.04,2016,5,24,1,21,0,2,0,0,1
2016-05-25,49.1,2016,5,25,2,21,0,2,0,0,1
2016-05-26,49.0,2016,5,26,3,21,0,2,0,0,1
2016-05-27,49.36,2016,5,27,4,21,0,2,0,0,1
2016-05-30,49.36,2016,5,30,0,22,0,2,0,0,1
2016-05-31,49.1,2016,5,31,1,22,0,2,0,1,1
2016-06-01,49.07,2016,6,1,2,22,0,2,1,0,2
2016-06-02,49.14,2016,6,2,3,22,0,2,0,0,2
2016-06-03,48.69,2016,6,3,4,22,0,2,0,0,2
2016-06-06,49.71,2016,6,6,0,23,0,2,0,0,2
2016-06-07,50.37,2016,6,7,1,23,0,2,0,0,2
2016-06-08,51.23,2016,6,8,2,23,0,2,0,0,2
2016-06-09,50.52,2016,6,9,3,23,0,2,0,0,2
2016-06-10,49.09,2016,6,10,4,23,0,2,0,0,2
2016-06-13,48.89,2016,6,13,0,24,0,2,0,0,2
2016-06-14,48.49,2016,6,14,1,24,0,2,0,0,2
2016-06-15,47.92,2016,6,15,2,24,0,2,0,0,2
2016-06-16,46.14,2016,6,16,3,24,0,2,0,0,2
2016-06-17,48.0,2016,6,17,4,24,0,2,0,0,2
2016-06-20,49.4,2016,6,20,0,25,0,2,0,0,2
2016-06-21,48.95,2016,6,21,1,25,0,2,0,0,2
2016-06-22,49.16,2016,6,22,2,25,0,2,0,0,2
2016-06-23,49.34,2016,6,23,3,25,0,2,0,0,2
2016-06-24,46.7,2016,6,24,4,25,0,2,0,0,2
2016-06-27,45.8,2016,6,27,0,26,0,2,0,0,2
2016-06-28,47.93,2016,6,28,1,26,0,2,0,0,2
2016-06-29,49.85,2016,6,29,2,26,0,2,0,0,2
2016-06-30,48.27,2016,6,30,3,26,0,2,0,1,2
2016-07-01,49.02,2016,7,1,4,26,0,3,1,0,2
2016-07-04,49.02,2016,7,4,0,27,0,3,0,0,2
2016-07-05,46.73,2016,7,5,1,27,0,3,0,0,2
2016-07-06,47.37,2016,7,6,2,27,0,3,0,0,2
2016-07-07,45.22,2016,7,7,3,27,0,3,0,0,2
2016-07-08,45.37,2016,7,8,4,27,0,3,0,0,2
2016-07-11,44.73,2016,7,11,0,28,0,3,0,0,2
2016-07-12,46.82,2016,7,12,1,28,0,3,0,0,2
2016-07-13,44.87,2016,7,13,2,28,0,3,0,0,2
2016-07-14,45.64,2016,7,14,3,28,0,3,0,0,2
2016-07-15,45.93,2016,7,15,4,28,0,3,0,0,2
2016-07-18,45.23,2016,7,18,0,29,0,3,0,0,2
2016-07-19,44.64,2016,7,19,1,29,0,3,0,0,2
2016-07-20,44.96,2016,7,20,2,29,0,3,0,0,2
2016-07-21,43.96,2016,7,21,3,29,0,3,0,0,2
2016-07-22,43.41,2016,7,22,4,29,0,3,0,0,2
2016-07-25,42.4,2016,7,25,0,30,0,3,0,0,2
2016-07-26,42.16,2016,7,26,1,30,0,3,0,0,2
2016-07-27,41.9,2016,7,27,2,30,0,3,0,0,2
2016-07-28,41.13,2016,7,28,3,30,0,3,0,0,2
2016-07-29,41.54,2016,7,29,4,30,0,3,0,0,2
2016-08-01,40.05,2016,8,1,0,31,0,3,1,0,2
2016-08-02,39.5,2016,8,2,1,31,0,3,0,0,2
2016-08-03,40.8,2016,8,3,2,31,0,3,0,0,2
2016-08-04,41.92,2016,8,4,3,31,0,3,0,0,2
2016-08-05,41.83,2016,8,5,4,31,0,3,0,0,2
2016-08-08,43.06,2016,8,8,0,32,0,3,0,0,2
2016-08-09,42.78,2016,8,9,1,32,0,3,0,0,2
2016-08-10,41.75,2016,8,10,2,32,0,3,0,0,2
2016-08-11,43.51,2016,8,11,3,32,0,3,0,0,2
2016-08-12,44.47,2016,8,12,4,32,0,3,0,0,2
2016-08-15,45.72,2016,8,15,0,33,0,3,0,0,2
2016-08-16,46.57,2016,8,16,1,33,0,3,0,0,2
2016-08-17,46.81,2016,8,17,2,33,0,3,0,0,2
2016-08-18,48.2,2016,8,18,3,33,0,3,0,0,2
2016-08-19,48.48,2016,8,19,4,33,0,3,0,0,2
2016-08-22,46.8,2016,8,22,0,34,0,3,0,0,2
2016-08-23,47.54,2016,8,23,1,34,0,3,0,0,2
2016-08-24,46.29,2016,8,24,2,34,0,3,0,0,2
2016-08-25,46.97,2016,8,25,3,34,0,3,0,0,2
2016-08-26,47.64,2016,8,26,4,34,0,3,0,0,2
2016-08-29,46.97,2016,8,29,0,35,0,3,0,0,2
2016-08-30,46.32,2016,8,30,1,35,0,3,0,0,2
2016-08-31,44.68,2016,8,31,2,35,0,3,0,1,2
2016-09-01,43.17,2016,9,1,3,35,0,3,1,0,3
2016-09-02,44.39,2016,9,2,4,35,0,3,0,0,3
2016-09-05,44.39,2016,9,5,0,36,0,3,0,0,3
2016-09-06,44.85,2016,9,6,1,36,0,3,0,0,3
2016-09-07,45.47,2016,9,7,2,36,0,3,0,0,3
2016-09-08,47.63,2016,9,8,3,36,0,3,0,0,3
2016-09-09,45.88,2016,9,9,4,36,0,3,0,0,3
2016-09-12,46.28,2016,9,12,0,37,0,3,0,0,3
2016-09-13,44.91,2016,9,13,1,37,0,3,0,0,3
2016-09-14,43.62,2016,9,14,2,37,0,3,0,0,3
2016-09-15,43.85,2016,9,15,3,37,0,3,0,0,3
2016-09-16,43.04,2016,9,16,4,37,0,3,0,0,3
2016-09-19,43.34,2016,9,19,0,38,0,3,0,0,3
2016-09-20,43.85,2016,9,20,1,38,0,3,0,0,3
2016-09-21,45.33,2016,9,21,2,38,0,3,0,0,3
2016-09-22,46.1,2016,9,22,3,38,0,3,0,0,3
2016-09-23,44.36,2016,9,23,4,38,0,3,0,0,3
2016-09-26,45.6,2016,9,26,0,39,0,3,0,0,3
2016-09-27,44.65,2016,9,27,1,39,0,3,0,0,3
2016-09-28,47.07,2016,9,28,2,39,0,3,0,0,3
2016-09-29,47.72,2016,9,29,3,39,0,3,0,0,3
2016-09-30,47.72,2016,9,30,4,39,0,3,0,1,3
2016-10-03,48.8,2016,10,3,0,40,0,4,0,0,3
2016-10-04,48.67,2016,10,4,1,40,0,4,0,0,3
2016-10-05,49.75,2016,10,5,2,40,0,4,0,0,3
2016-10-06,50.44,2016,10,6,3,40,0,4,0,0,3
2016-10-07,49.76,2016,10,7,4,40,0,4,0,0,3
2016-10-10,49.76,2016,10,10,0,41,0,4,0,0,3
2016-10-11,50.72,2016,10,11,1,41,0,4,0,0,3
2016-10-12,50.14,2016,10,12,2,41,0,4,0,0,3
2016-10-13,50.47,2016,10,13,3,41,0,4,0,0,3
2016-10-14,50.35,2016,10,14,4,41,0,4,0,0,3
2016-10-17,49.97,2016,10,17,0,42,0,4,0,0,3
2016-10-18,50.3,2016,10,18,1,42,0,4,0,0,3
2016-10-19,51.59,2016,10,19,2,42,0,4,0,0,3
2016-10-20,50.31,2016,10,20,3,42,0,4,0,0,3
2016-10-21,50.61,2016,10,21,4,42,0,4,0,0,3
2016-10-24,50.18,2016,10,24,0,43,0,4,0,0,3
2016-10-25,49.45,2016,10,25,1,43,0,4,0,0,3
2016-10-26,48.75,2016,10,26,2,43,0,4,0,0,3
2016-10-27,49.71,2016,10,27,3,43,0,4,0,0,3
2016-10-28,48.72,2016,10,28,4,43,0,4,0,0,3
2016-10-31,46.83,2016,10,31,0,44,0,4,0,1,3
2016-11-01,46.66,2016,11,1,1,44,0,4,1,0,3
2016-11-02,45.32,2016,11,2,2,44,0,4,0,0,3
2016-11-03,44.66,2016,11,3,3,44,0,4,0,0,3
2016-11-04,44.07,2016,11,4,4,44,0,4,0,0,3
2016-11-07,44.88,2016,11,7,0,45,0,4,0,0,3
2016-11-08,44.96,2016,11,8,1,45,0,4,0,0,3
2016-11-09,45.2,2016,11,9,2,45,0,4,0,0,3
2016-11-10,44.62,2016,11,10,3,45,0,4,0,0,3
2016-11-11,43.39,2016,11,11,4,45,0,4,0,0,3
2016-11-14,43.29,2016,11,14,0,46,0,4,0,0,3
2016-11-15,45.86,2016,11,15,1,46,0,4,0,0,3
2016-11-16,45.56,2016,11,16,2,46,0,4,0,0,3
2016-11-17,45.37,2016,11,17,3,46,0,4,0,0,3
2016-11-18,45.69,2016,11,18,4,46,0,4,0,0,3
2016-11-21,47.48,2016,11,21,0,47,0,4,0,0,3
2016-11-22,48.07,2016,11,22,1,47,0,4,0,0,3
2016-11-23,46.72,2016,11,23,2,47,0,4,0,0,3
2016-11-24,46.72,2016,11,24,3,47,0,4,0,0,3
2016-11-25,46.72,2016,11,25,4,47,0,4,0,0,3
2016-11-28,45.66,2016,11,28,0,48,0,4,0,0,3
2016-11-29,45.29,2016,11,29,1,48,0,4,0,0,3
2016-11-30,49.41,2016,11,30,2,48,0,4,0,1,3
2016-12-01,51.08,2016,12,1,3,48,0,4,1,0,0
2016-12-02,51.7,2016,12,2,4,48,0,4,0,0,0
2016-12-05,51.72,2016,12,5,0,49,0,4,0,0,0
2016-12-06,50.95,2016,12,6,1,49,0,4,0,0,0
2016-12-07,49.85,2016,12,7,2,49,0,4,0,0,0
2016-12-08,50.84,2016,12,8,3,49,0,4,0,0,0
2016-12-09,51.51,2016,12,9,4,49,0,4,0,0,0
2016-12-12,52.74,2016,12,12,0,50,0,4,0,0,0
2016-12-13,52.99,2016,12,13,1,50,0,4,0,0,0
2016-12-14,51.01,2016,12,14,2,50,0,4,0,0,0
2016-12-15,50.9,2016,12,15,3,50,0,4,0,0,0
2016-12-16,51.93,2016,12,16,4,50,0,4,0,0,0
2016-12-19,52.13,2016,12,19,0,51,0,4,0,0,0
2016-12-20,52.22,2016,12,20,1,51,0,4,0,0,0
2016-12-21,51.44,2016,12,21,2,51,0,4,0,0,0
2016-12-22,51.98,2016,12,22,3,51,0,4,0,0,0
2016-12-23,52.01,2016,12,23,4,51,0,4,0,0,0
2016-12-26,52.01,2016,12,26,0,52,0,4,0,0,0
2016-12-27,52.82,2016,12,27,1,52,0,4,0,0,0
2016-12-28,54.01,2016,12,28,2,52,0,4,0,0,0
2016-12-29,53.8,2016,12,29,3,52,0,4,0,0,0
2016-12-30,53.75,2016,12,30,4,52,0,4,0,0,0
2017-01-02,53.75,2017,1,2,0,1,0,1,0,0,0
2017-01-03,52.36,2017,1,3,1,1,0,1,0,0,0
2017-01-04,53.26,2017,1,4,2,1,0,1,0,0,0
2017-01-05,53.77,2017,1,5,3,1,0,1,0,0,0
2017-01-06,53.98,2017,1,6,4,1,0,1,0,0,0
2017-01-09,51.95,2017,1,9,0,2,0,1,0,0,0
2017-01-10,50.82,2017,1,10,1,2,0,1,0,0,0
2017-01-11,52.19,2017,1,11,2,2,0,1,0,0,0
2017-01-12,53.01,2017,1,12,3,2,0,1,0,0,0
2017-01-13,52.36,2017,1,13,4,2,0,1,0,0,0
2017-01-16,52.36,2017,1,16,0,3,0,1,0,0,0
2017-01-17,52.45,2017,1,17,1,3,0,1,0,0,0
2017-01-18,51.12,2017,1,18,2,3,0,1,0,0,0
2017-01-19,51.39,2017,1,19,3,3,0,1,0,0,0
2017-01-20,52.33,2017,1,20,4,3,0,1,0,0,0
2017-01-23,52.77,2017,1,23,0,4,0,1,0,0,0
2017-01-24,52.38,2017,1,24,1,4,0,1,0,0,0
2017-01-25,52.14,2017,1,25,2,4,0,1,0,0,0
2017-01-26,53.24,2017,1,26,3,4,0,1,0,0,0
2017-01-27,53.18,2017,1,27,4,4,0,1,0,0,0
2017-01-30,52.63,2017,1,30,0,5,0,1,0,0,0
2017-01-31,52.75,2017,1,31,1,5,0,1,0,1,0
2017-02-01,53.9,2017,2,1,2,5,0,1,1,0,0
2017-02-02,53.55,2017,2,2,3,5,0,1,0,0,0
2017-02-03,53.81,2017,2,3,4,5,0,1,0,0,0
2017-02-06,53.01,2017,2,6,0,6,0,1,0,0,0
2017-02-07,52.19,2017,2,7,1,6,0,1,0,0,0
2017-02-08,52.37,2017,2,8,2,6,0,1,0,0,0
2017-02-09,52.99,2017,2,9,3,6,0,1,0,0,0
2017-02-10,53.84,2017,2,10,4,6,0,1,0,0,0
2017-02-13,52.96,2017,2,13,0,7,0,1,0,0,0
2017-02-14,53.21,2017,2,14,1,7,0,1,0,0,0
2017-02-15,53.11,2017,2,15,2,7,0,1,0,0,0
2017-02-16,53.41,2017,2,16,3,7,0,1,0,0,0
2017-02-17,53.41,2017,2,17,4,7,0,1,0,0,0
2017-02-20,53.41,2017,2,20,0,8,0,1,0,0,0
2017-02-21,54.02,2017,2,21,1,8,0,1,0,0,0
2017-02-22,53.61,2017,2,22,2,8,0,1,0,0,0
2017-02-23,54.48,2017,2,23,3,8,0,1,0,0,0
2017-02-24,53.99,2017,2,24,4,8,0,1,0,0,0
2017-02-27,54.04,2017,2,27,0,9,0,1,0,0,0
2017-02-28,54.0,2017,2,28,1,9,0,1,0,1,0
2017-03-01,53.82,2017,3,1,2,9,0,1,1,0,1
2017-03-02,52.63,2017,3,2,3,9,0,1,0,0,1
2017-03-03,53.33,2017,3,3,4,9,0,1,0,0,1
2017-03-06,53.19,2017,3,6,0,10,0,1,0,0,1
2017-03-07,52.68,2017,3,7,1,10,0,1,0,0,1
2017-03-08,49.83,2017,3,8,2,10,0,1,0,0,1
2017-03-09,48.75,2017,3,9,3,10,0,1,0,0,1
2017-03-10,48.05,2017,3,10,4,10,0,1,0,0,1
2017-03-13,47.95,2017,3,13,0,11,0,1,0,0,1
2017-03-14,47.24,2017,3,14,1,11,0,1,0,0,1
2017-03-15,48.34,2017,3,15,2,11,0,1,0,0,1
2017-03-16,48.3,2017,3,16,3,11,0,1,0,0,1
2017-03-17,48.34,2017,3,17,4,11,0,1,0,0,1
2017-03-20,47.79,2017,3,20,0,12,0,1,0,0,1
2017-03-21,47.02,2017,3,21,1,12,0,1,0,0,1
2017-03-22,47.29,2017,3,22,2,12,0,1,0,0,1
2017-03-23,47.0,2017,3,23,3,12,0,1,0,0,1
2017-03-24,47.3,2017,3,24,4,12,0,1,0,0,1
2017-03-27,47.02,2017,3,27,0,13,0,1,0,0,1
2017-03-28,48.36,2017,3,28,1,13,0,1,0,0,1
2017-03-29,49.47,2017,3,29,2,13,0,1,0,0,1
2017-03-30,50.3,2017,3,30,3,13,0,1,0,0,1
2017-03-31,50.54,2017,3,31,4,13,0,1,0,1,1
2017-04-03,50.25,2017,4,3,0,14,0,2,0,0,1
2017-04-04,50.99,2017,4,4,1,14,0,2,0,0,1
2017-04-05,51.14,2017,4,5,2,14,0,2,0,0,1
2017-04-06,51.69,2017,4,6,3,14,0,2,0,0,1
2017-04-07,52.25,2017,4,7,4,14,0,2,0,0,1
2017-04-10,53.06,2017,4,10,0,15,0,2,0,0,1
2017-04-11,53.38,2017,4,11,1,15,0,2,0,0,1
2017-04-12,53.12,2017,4,12,2,15,0,2,0,0,1
2017-04-13,53.19,2017,4,13,3,15,0,2,0,0,1
2017-04-14,53.19,2017,4,14,4,15,0,2,0,0,1
2017-04-17,52.62,2017,4,17,0,16,0,2,0,0,1
2017-04-18,52.46,2017,4,18,1,16,0,2,0,0,1
2017-04-19,50.49,2017,4,19,2,16,0,2,0,0,1
2017-04-20,50.26,2017,4,20,3,16,0,2,0,0,1
2017-04-21,49.64,2017,4,21,4,16,0,2,0,0,1
2017-04-24,48.9,2017,4,24,0,17,0,2,0,0,1
2017-04-25,49.22,2017,4,25,1,17,0,2,0,0,1
2017-04-26,49.22,2017,4,26,2,17,0,2,0,0,1
2017-04-27,48.96,2017,4,27,3,17,0,2,0,0,1
2017-04-28,49.31,2017,4,28,4,17,0,2,0,0,1
2017-05-01,48.83,2017,5,1,0,18,0,2,1,0,1
2017-05-02,47.65,2017,5,2,1,18,0,2,0,0,1
2017-05-03,47.79,2017,5,3,2,18,0,2,0,0,1
2017-05-04,45.55,2017,5,4,3,18,0,2,0,0,1
2017-05-05,46.23,2017,5,5,4,18,0,2,0,0,1
2017-05-08,46.46,2017,5,8,0,19,0,2,0,0,1
2017-05-09,45.84,2017,5,9,1,19,0,2,0,0,1
2017-05-10,47.28,2017,5,10,2,19,0,2,0,0,1
2017-05-11,47.81,2017,5,11,3,19,0,2,0,0,1
2017-05-12,47.83,2017,5,12,4,19,0,2,0,0,1
2017-05-15,48.86,2017,5,15,0,20,0,2,0,0,1
2017-05-16,48.64,2017,5,16,1,20,0,2,0,0,1
2017-05-17,49.04,2017,5,17,2,20,0,2,0,0,1
2017-05-18,49.36,2017,5,18,3,20,0,2,0,0,1
2017-05-19,50.32,2017,5,19,4,20,0,2,0,0,1
2017-05-22,50.81,2017,5,22,0,21,0,2,0,0,1
2017-05-23,51.12,2017,5,23,1,21,0,2,0,0,1
2017-05-24,50.99,2017,5,24,2,21,0,2,0,0,1
2017-05-25,48.57,2017,5,25,3,21,0,2,0,0,1
2017-05-26,49.58,2017,5,26,4,21,0,2,0,0,1
2017-05-29,49.58,2017,5,29,0,22,0,2,0,0,1
2017-05-30,49.63,2017,5,30,1,22,0,2,0,0,1
2017-05-31,48.29,2017,5,31,2,22,0,2,0,1,1
2017-06-01,48.32,2017,6,1,3,22,0,2,1,0,2
2017-06-02,47.68,2017,6,2,4,22,0,2,0,0,2
2017-06-05,47.4,2017,6,5,0,23,0,2,0,0,2
2017-06-06,48.13,2017,6,6,1,23,0,2,0,0,2
2017-06-07,45.8,2017,6,7,2,23,0,2,0,0,2
2017-06-08,45.68,2017,6,8,3,23,0,2,0,0,2
2017-06-09,45.82,2017,6,9,4,23,0,2,0,0,2
2017-06-12,46.1,2017,6,12,0,24,0,2,0,0,2
2017-06-13,46.41,2017,6,13,1,24,0,2,0,0,2
2017-06-14,44.79,2017,6,14,2,24,0,2,0,0,2
2017-06-15,44.47,2017,6,15,3,24,0,2,0,0,2
2017-06-16,44.73,2017,6,16,4,24,0,2,0,0,2
2017-06-19,44.24,2017,6,19,0,25,0,2,0,0,2
2017-06-20,43.34,2017,6,20,1,25,0,2,0,0,2
2017-06-21,42.48,2017,6,21,2,25,0,2,0,0,2
2017-06-22,42.53,2017,6,22,3,25,0,2,0,0,2
2017-06-23,42.86,2017,6,23,4,25,0,2,0,0,2
2017-06-26,43.24,2017,6,26,0,26,0,2,0,0,2
2017-06-27,44.25,2017,6,27,1,26,0,2,0,0,2
2017-06-28,44.74,2017,6,28,2,26,0,2,0,0,2
2017-06-29,44.88,2017,6,29,3,26,0,2,0,0,2
2017-06-30,46.02,2017,6,30,4,26,0,2,0,1,2
2017-07-03,46.02,2017,7,3,0,27,0,3,0,0,2
2017-07-04,46.02,2017,7,4,1,27,0,3,0,0,2
2017-07-05,45.11,2017,7,5,2,27,0,3,0,0,2
2017-07-06,45.52,2017,7,6,3,27,0,3,0,0,2
2017-07-07,44.25,2017,7,7,4,27,0,3,0,0,2
2017-07-10,44.4,2017,7,10,0,28,0,3,0,0,2
2017-07-11,45.06,2017,7,11,1,28,0,3,0,0,2
2017-07-12,45.48,2017,7,12,2,28,0,3,0,0,2
2017-07-13,46.06,2017,7,13,3,28,0,3,0,0,2
2017-07-14,46.53,2017,7,14,4,28,0,3,0,0,2
2017-07-17,46.02,2017,7,17,0,29,0,3,0,0,2
2017-07-18,46.4,2017,7,18,1,29,0,3,0,0,2
2017-07-19,47.1,2017,7,19,2,29,0,3,0,0,2
2017-07-20,46.73,2017,7,20,3,29,0,3,0,0,2
2017-07-21,45.78,2017,7,21,4,29,0,3,0,0,2
2017-07-24,46.21,2017,7,24,0,30,0,3,0,0,2
2017-07-25,47.77,2017,7,25,1,30,0,3,0,0,2
2017-07-26,48.58,2017,7,26,2,30,0,3,0,0,2
2017-07-27,49.05,2017,7,27,3,30,0,3,0,0,2
2017-07-28,49.72,2017,7,28,4,30,0,3,0,0,2
2017-07-31,50.21,2017,7,31,0,31,0,3,0,1,2
2017-08-01,49.19,2017,8,1,1,31,0,3,1,0,2
2017-08-02,49.6,2017,8,2,2,31,0,3,0,0,2
2017-08-03,49.03,2017,8,3,3,31,0,3,0,0,2
2017-08-04,49.57,2017,8,4,4,31,0,3,0,0,2
2017-08-07,49.37,2017,8,7,0,32,0,3,0,0,2
2017-08-08,49.07,2017,8,8,1,32,0,3,0,0,2
2017-08-09,49.59,2017,8,9,2,32,0,3,0,0,2
2017-08-10,48.54,2017,8,10,3,32,0,3,0,0,2
2017-08-11,48.81,2017,8,11,4,32,0,3,0,0,2
2017-08-14,47.59,2017,8,14,0,33,0,3,0,0,2
2017-08-15,47.57,2017,8,15,1,33,0,3,0,0,2
2017-08-16,46.8,2017,8,16,2,33,0,3,0,0,2
2017-08-17,47.07,2017,8,17,3,33,0,3,0,0,2
2017-08-18,48.59,2017,8,18,4,33,0,3,0,0,2
2017-08-21,47.39,2017,8,21,0,34,0,3,0,0,2
2017-08-22,47.65,2017,8,22,1,34,0,3,0,0,2
2017-08-23,48.45,2017,8,23,2,34,0,3,0,0,2
2017-08-24,47.24,2017,8,24,3,34,0,3,0,0,2
2017-08-25,47.65,2017,8,25,4,34,0,3,0,0,2
2017-08-28,46.4,2017,8,28,0,35,0,3,0,0,2
2017-08-29,46.46,2017,8,29,1,35,0,3,0,0,2
2017-08-30,45.96,2017,8,30,2,35,0,3,0,0,2
