date,store_nbr,transactions,year,month,day,dayofweek,weekofyear,is_weekend,quarter,is_month_start,is_month_end,season
2016-01-05,13,913,2016,1,5,1,1,0,1,0,0,0
2016-01-05,14,1516,2016,1,5,1,1,0,1,0,0,0
2016-01-05,15,1514,2016,1,5,1,1,0,1,0,0,0
2016-01-05,16,855,2016,1,5,1,1,0,1,0,0,0
2016-01-05,17,1414,2016,1,5,1,1,0,1,0,0,0
2016-01-05,18,1378,2016,1,5,1,1,0,1,0,0,0
2016-01-05,19,1230,2016,1,5,1,1,0,1,0,0,0
2016-01-05,20,1333,2016,1,5,1,1,0,1,0,0,0
2016-01-05,21,1146,2016,1,5,1,1,0,1,0,0,0
2016-01-05,22,678,2016,1,5,1,1,0,1,0,0,0
2016-01-05,23,1095,2016,1,5,1,1,0,1,0,0,0
2016-01-05,24,2486,2016,1,5,1,1,0,1,0,0,0
2016-01-05,25,792,2016,1,5,1,1,0,1,0,0,0
2016-01-05,26,579,2016,1,5,1,1,0,1,0,0,0
2016-01-05,27,1558,2016,1,5,1,1,0,1,0,0,0
2016-01-05,28,1365,2016,1,5,1,1,0,1,0,0,0
2016-01-05,29,1114,2016,1,5,1,1,0,1,0,0,0
2016-01-05,30,815,2016,1,5,1,1,0,1,0,0,0
2016-01-05,31,1511,2016,1,5,1,1,0,1,0,0,0
2016-01-05,32,619,2016,1,5,1,1,0,1,0,0,0
2016-01-05,33,1123,2016,1,5,1,1,0,1,0,0,0
2016-01-05,34,2231,2016,1,5,1,1,0,1,0,0,0
2016-01-05,35,728,2016,1,5,1,1,0,1,0,0,0
2016-01-05,36,1337,2016,1,5,1,1,0,1,0,0,0
2016-01-05,37,1508,2016,1,5,1,1,0,1,0,0,0
2016-01-05,38,1531,2016,1,5,1,1,0,1,0,0,0
2016-01-05,39,1431,2016,1,5,1,1,0,1,0,0,0
2016-01-05,40,1527,2016,1,5,1,1,0,1,0,0,0
2016-01-05,41,1113,2016,1,5,1,1,0,1,0,0,0
2016-01-05,42,955,2016,1,5,1,1,0,1,0,0,0
2016-01-05,43,1319,2016,1,5,1,1,0,1,0,0,0
2016-01-05,44,4113,2016,1,5,1,1,0,1,0,0,0
2016-01-05,45,3698,2016,1,5,1,1,0,1,0,0,0
2016-01-05,46,3402,2016,1,5,1,1,0,1,0,0,0
2016-01-05,47,4063,2016,1,5,1,1,0,1,0,0,0
2016-01-05,48,2934,2016,1,5,1,1,0,1,0,0,0
2016-01-05,49,2967,2016,1,5,1,1,0,1,0,0,0
2016-01-05,50,2528,2016,1,5,1,1,0,1,0,0,0
2016-01-05,51,1887,2016,1,5,1,1,0,1,0,0,0
2016-01-05,53,875,2016,1,5,1,1,0,1,0,0,0
2016-01-05,54,866,2016,1,5,1,1,0,1,0,0,0
2016-01-06,1,1996,2016,1,6,2,1,0,1,0,0,0
2016-01-06,2,2058,2016,1,6,2,1,0,1,0,0,0
2016-01-06,3,3398,2016,1,6,2,1,0,1,0,0,0
2016-01-06,4,1613,2016,1,6,2,1,0,1,0,0,0
2016-01-06,5,1482,2016,1,6,2,1,0,1,0,0,0
2016-01-06,6,1880,2016,1,6,2,1,0,1,0,0,0
2016-01-06,7,1915,2016,1,6,2,1,0,1,0,0,0
2016-01-06,8,3102,2016,1,6,2,1,0,1,0,0,0
2016-01-06,9,2037,2016,1,6,2,1,0,1,0,0,0
2016-01-06,10,889,2016,1,6,2,1,0,1,0,0,0
2016-01-06,11,2251,2016,1,6,2,1,0,1,0,0,0
2016-01-06,12,1257,2016,1,6,2,1,0,1,0,0,0
2016-01-06,13,868,2016,1,6,2,1,0,1,0,0,0
2016-01-06,14,1245,2016,1,6,2,1,0,1,0,0,0
2016-01-06,15,1449,2016,1,6,2,1,0,1,0,0,0
2016-01-06,16,776,2016,1,6,2,1,0,1,0,0,0
2016-01-06,17,1308,2016,1,6,2,1,0,1,0,0,0
2016-01-06,18,1283,2016,1,6,2,1,0,1,0,0,0
2016-01-06,19,1102,2016,1,6,2,1,0,1,0,0,0
2016-01-06,20,1312,2016,1,6,2,1,0,1,0,0,0
2016-01-06,21,1018,2016,1,6,2,1,0,1,0,0,0
2016-01-06,22,631,2016,1,6,2,1,0,1,0,0,0
2016-01-06,23,1101,2016,1,6,2,1,0,1,0,0,0
2016-01-06,24,2728,2016,1,6,2,1,0,1,0,0,0
2016-01-06,25,917,2016,1,6,2,1,0,1,0,0,0
2016-01-06,26,636,2016,1,6,2,1,0,1,0,0,0
2016-01-06,27,1578,2016,1,6,2,1,0,1,0,0,0
2016-01-06,28,1127,2016,1,6,2,1,0,1,0,0,0
2016-01-06,29,1086,2016,1,6,2,1,0,1,0,0,0
2016-01-06,30,763,2016,1,6,2,1,0,1,0,0,0
2016-01-06,31,1411,2016,1,6,2,1,0,1,0,0,0
2016-01-06,32,637,2016,1,6,2,1,0,1,0,0,0
2016-01-06,33,1019,2016,1,6,2,1,0,1,0,0,0
2016-01-06,34,2022,2016,1,6,2,1,0,1,0,0,0
2016-01-06,35,635,2016,1,6,2,1,0,1,0,0,0
2016-01-06,36,1194,2016,1,6,2,1,0,1,0,0,0
2016-01-06,37,1623,2016,1,6,2,1,0,1,0,0,0
2016-01-06,38,1698,2016,1,6,2,1,0,1,0,0,0
2016-01-06,39,1191,2016,1,6,2,1,0,1,0,0,0
2016-01-06,40,1382,2016,1,6,2,1,0,1,0,0,0
2016-01-06,41,1136,2016,1,6,2,1,0,1,0,0,0
2016-01-06,42,942,2016,1,6,2,1,0,1,0,0,0
2016-01-06,43,1297,2016,1,6,2,1,0,1,0,0,0
2016-01-06,44,4661,2016,1,6,2,1,0,1,0,0,0
2016-01-06,45,3816,2016,1,6,2,1,0,1,0,0,0
2016-01-06,46,3325,2016,1,6,2,1,0,1,0,0,0
2016-01-06,47,4136,2016,1,6,2,1,0,1,0,0,0
2016-01-06,48,2859,2016,1,6,2,1,0,1,0,0,0
2016-01-06,49,3083,2016,1,6,2,1,0,1,0,0,0
2016-01-06,50,2301,2016,1,6,2,1,0,1,0,0,0
2016-01-06,51,1916,2016,1,6,2,1,0,1,0,0,0
2016-01-06,53,948,2016,1,6,2,1,0,1,0,0,0
2016-01-06,54,808,2016,1,6,2,1,0,1,0,0,0
2016-01-07,1,1822,2016,1,7,3,1,0,1,0,0,0
2016-01-07,2,1821,2016,1,7,3,1,0,1,0,0,0
2016-01-07,3,2946,2016,1,7,3,1,0,1,0,0,0
2016-01-07,4,1390,2016,1,7,3,1,0,1,0,0,0
2016-01-07,5,1242,2016,1,7,3,1,0,1,0,0,0
2016-01-07,6,1691,2016,1,7,3,1,0,1,0,0,0
2016-01-07,7,1776,2016,1,7,3,1,0,1,0,0,0
2016-01-07,8,2762,2016,1,7,3,1,0,1,0,0,0
2016-01-07,9,1949,2016,1,7,3,1,0,1,0,0,0
2016-01-07,10,872,2016,1,7,3,1,0,1,0,0,0
2016-01-07,11,2168,2016,1,7,3,1,0,1,0,0,0
2016-01-07,12,1234,2016,1,7,3,1,0,1,0,0,0
2016-01-07,13,884,2016,1,7,3,1,0,1,0,0,0
2016-01-07,14,1483,2016,1,7,3,1,0,1,0,0,0
2016-01-07,15,1324,2016,1,7,3,1,0,1,0,0,0
2016-01-07,16,706,2016,1,7,3,1,0,1,0,0,0
2016-01-07,17,1207,2016,1,7,3,1,0,1,0,0,0
2016-01-07,18,1358,2016,1,7,3,1,0,1,0,0,0
2016-01-07,19,1084,2016,1,7,3,1,0,1,0,0,0
2016-01-07,20,1438,2016,1,7,3,1,0,1,0,0,0
2016-01-07,21,916,2016,1,7,3,1,0,1,0,0,0
2016-01-07,22,654,2016,1,7,3,1,0,1,0,0,0
2016-01-07,23,981,2016,1,7,3,1,0,1,0,0,0
2016-01-07,24,2201,2016,1,7,3,1,0,1,0,0,0
2016-01-07,25,724,2016,1,7,3,1,0,1,0,0,0
2016-01-07,26,457,2016,1,7,3,1,0,1,0,0,0
2016-01-07,27,1346,2016,1,7,3,1,0,1,0,0,0
2016-01-07,28,1034,2016,1,7,3,1,0,1,0,0,0
2016-01-07,29,966,2016,1,7,3,1,0,1,0,0,0
2016-01-07,30,717,2016,1,7,3,1,0,1,0,0,0
2016-01-07,31,1394,2016,1,7,3,1,0,1,0,0,0
2016-01-07,32,524,2016,1,7,3,1,0,1,0,0,0
2016-01-07,33,940,2016,1,7,3,1,0,1,0,0,0
2016-01-07,34,1968,2016,1,7,3,1,0,1,0,0,0
2016-01-07,35,669,2016,1,7,3,1,0,1,0,0,0
2016-01-07,36,1121,2016,1,7,3,1,0,1,0,0,0
2016-01-07,37,1445,2016,1,7,3,1,0,1,0,0,0
2016-01-07,38,1430,2016,1,7,3,1,0,1,0,0,0
2016-01-07,39,1286,2016,1,7,3,1,0,1,0,0,0
2016-01-07,40,1269,2016,1,7,3,1,0,1,0,0,0
2016-01-07,41,956,2016,1,7,3,1,0,1,0,0,0
2016-01-07,42,922,2016,1,7,3,1,0,1,0,0,0
2016-01-07,43,1299,2016,1,7,3,1,0,1,0,0,0
2016-01-07,44,3866,2016,1,7,3,1,0,1,0,0,0
2016-01-07,45,3306,2016,1,7,3,1,0,1,0,0,0
2016-01-07,46,2981,2016,1,7,3,1,0,1,0,0,0
2016-01-07,47,3528,2016,1,7,3,1,0,1,0,0,0
2016-01-07,48,2545,2016,1,7,3,1,0,1,0,0,0
2016-01-07,49,2664,2016,1,7,3,1,0,1,0,0,0
2016-01-07,50,2070,2016,1,7,3,1,0,1,0,0,0
2016-01-07,51,1590,2016,1,7,3,1,0,1,0,0,0
2016-01-07,53,753,2016,1,7,3,1,0,1,0,0,0
2016-01-07,54,733,2016,1,7,3,1,0,1,0,0,0
2016-01-08,1,1823,2016,1,8,4,1,0,1,0,0,0
2016-01-08,2,1887,2016,1,8,4,1,0,1,0,0,0
2016-01-08,3,3205,2016,1,8,4,1,0,1,0,0,0
2016-01-08,4,1523,2016,1,8,4,1,0,1,0,0,0
2016-01-08,5,1296,2016,1,8,4,1,0,1,0,0,0
2016-01-08,6,1768,2016,1,8,4,1,0,1,0,0,0
2016-01-08,7,1896,2016,1,8,4,1,0,1,0,0,0
2016-01-08,8,2923,2016,1,8,4,1,0,1,0,0,0
2016-01-08,9,1807,2016,1,8,4,1,0,1,0,0,0
2016-01-08,10,836,2016,1,8,4,1,0,1,0,0,0
2016-01-08,11,2131,2016,1,8,4,1,0,1,0,0,0
2016-01-08,12,1095,2016,1,8,4,1,0,1,0,0,0
2016-01-08,13,776,2016,1,8,4,1,0,1,0,0,0
2016-01-08,14,1290,2016,1,8,4,1,0,1,0,0,0
2016-01-08,15,1285,2016,1,8,4,1,0,1,0,0,0
2016-01-08,16,737,2016,1,8,4,1,0,1,0,0,0
2016-01-08,17,1148,2016,1,8,4,1,0,1,0,0,0
2016-01-08,18,1148,2016,1,8,4,1,0,1,0,0,0
2016-01-08,19,999,2016,1,8,4,1,0,1,0,0,0
2016-01-08,20,1226,2016,1,8,4,1,0,1,0,0,0
2016-01-08,21,882,2016,1,8,4,1,0,1,0,0,0
2016-01-08,22,602,2016,1,8,4,1,0,1,0,0,0
2016-01-08,23,1090,2016,1,8,4,1,0,1,0,0,0
2016-01-08,24,2416,2016,1,8,4,1,0,1,0,0,0
2016-01-08,25,967,2016,1,8,4,1,0,1,0,0,0
2016-01-08,26,567,2016,1,8,4,1,0,1,0,0,0
2016-01-08,27,1460,2016,1,8,4,1,0,1,0,0,0
2016-01-08,28,1033,2016,1,8,4,1,0,1,0,0,0
2016-01-08,29,903,2016,1,8,4,1,0,1,0,0,0
2016-01-08,30,587,2016,1,8,4,1,0,1,0,0,0
2016-01-08,31,1312,2016,1,8,4,1,0,1,0,0,0
2016-01-08,32,547,2016,1,8,4,1,0,1,0,0,0
2016-01-08,33,897,2016,1,8,4,1,0,1,0,0,0
2016-01-08,34,2268,2016,1,8,4,1,0,1,0,0,0
2016-01-08,35,662,2016,1,8,4,1,0,1,0,0,0
2016-01-08,36,1006,2016,1,8,4,1,0,1,0,0,0
2016-01-08,37,1535,2016,1,8,4,1,0,1,0,0,0
2016-01-08,38,1503,2016,1,8,4,1,0,1,0,0,0
2016-01-08,39,1207,2016,1,8,4,1,0,1,0,0,0
2016-01-08,40,1314,2016,1,8,4,1,0,1,0,0,0
2016-01-08,41,1067,2016,1,8,4,1,0,1,0,0,0
2016-01-08,42,976,2016,1,8,4,1,0,1,0,0,0
2016-01-08,43,1259,2016,1,8,4,1,0,1,0,0,0
2016-01-08,44,4301,2016,1,8,4,1,0,1,0,0,0
2016-01-08,45,3644,2016,1,8,4,1,0,1,0,0,0
2016-01-08,46,3133,2016,1,8,4,1,0,1,0,0,0
2016-01-08,47,3812,2016,1,8,4,1,0,1,0,0,0
2016-01-08,48,2689,2016,1,8,4,1,0,1,0,0,0
2016-01-08,49,2991,2016,1,8,4,1,0,1,0,0,0
2016-01-08,50,2426,2016,1,8,4,1,0,1,0,0,0
2016-01-08,51,1781,2016,1,8,4,1,0,1,0,0,0
2016-01-08,53,840,2016,1,8,4,1,0,1,0,0,0
2016-01-08,54,868,2016,1,8,4,1,0,1,0,0,0
2016-01-09,1,1331,2016,1,9,5,1,1,1,0,0,0
2016-01-09,2,2141,2016,1,9,5,1,1,1,0,0,0
2016-01-09,3,3824,2016,1,9,5,1,1,1,0,0,0
2016-01-09,4,1753,2016,1,9,5,1,1,1,0,0,0
2016-01-09,5,1350,2016,1,9,5,1,1,1,0,0,0
2016-01-09,6,2331,2016,1,9,5,1,1,1,0,0,0
2016-01-09,7,1942,2016,1,9,5,1,1,1,0,0,0
2016-01-09,8,2988,2016,1,9,5,1,1,1,0,0,0
2016-01-09,9,2481,2016,1,9,5,1,1,1,0,0,0
2016-01-09,10,1093,2016,1,9,5,1,1,1,0,0,0
2016-01-09,11,2493,2016,1,9,5,1,1,1,0,0,0
2016-01-09,12,1370,2016,1,9,5,1,1,1,0,0,0
2016-01-09,13,1198,2016,1,9,5,1,1,1,0,0,0
2016-01-09,14,1700,2016,1,9,5,1,1,1,0,0,0
2016-01-09,15,1434,2016,1,9,5,1,1,1,0,0,0
2016-01-09,16,769,2016,1,9,5,1,1,1,0,0,0
2016-01-09,17,1598,2016,1,9,5,1,1,1,0,0,0
2016-01-09,18,1334,2016,1,9,5,1,1,1,0,0,0
2016-01-09,19,1641,2016,1,9,5,1,1,1,0,0,0
2016-01-09,20,1797,2016,1,9,5,1,1,1,0,0,0
2016-01-09,21,1244,2016,1,9,5,1,1,1,0,0,0
2016-01-09,22,692,2016,1,9,5,1,1,1,0,0,0
2016-01-09,23,1115,2016,1,9,5,1,1,1,0,0,0
2016-01-09,24,2378,2016,1,9,5,1,1,1,0,0,0
2016-01-09,25,1298,2016,1,9,5,1,1,1,0,0,0
2016-01-09,26,617,2016,1,9,5,1,1,1,0,0,0
2016-01-09,27,1802,2016,1,9,5,1,1,1,0,0,0
2016-01-09,28,1334,2016,1,9,5,1,1,1,0,0,0
2016-01-09,29,1237,2016,1,9,5,1,1,1,0,0,0
2016-01-09,30,715,2016,1,9,5,1,1,1,0,0,0
2016-01-09,31,1530,2016,1,9,5,1,1,1,0,0,0
2016-01-09,32,686,2016,1,9,5,1,1,1,0,0,0
2016-01-09,33,1022,2016,1,9,5,1,1,1,0,0,0
2016-01-09,34,2298,2016,1,9,5,1,1,1,0,0,0
2016-01-09,35,669,2016,1,9,5,1,1,1,0,0,0
2016-01-09,36,1192,2016,1,9,5,1,1,1,0,0,0
2016-01-09,37,1649,2016,1,9,5,1,1,1,0,0,0
2016-01-09,38,2191,2016,1,9,5,1,1,1,0,0,0
2016-01-09,39,1761,2016,1,9,5,1,1,1,0,0,0
2016-01-09,40,1364,2016,1,9,5,1,1,1,0,0,0
2016-01-09,41,1191,2016,1,9,5,1,1,1,0,0,0
2016-01-09,42,1310,2016,1,9,5,1,1,1,0,0,0
2016-01-09,43,1316,2016,1,9,5,1,1,1,0,0,0
2016-01-09,44,5186,2016,1,9,5,1,1,1,0,0,0
2016-01-09,45,4545,2016,1,9,5,1,1,1,0,0,0
2016-01-09,46,4696,2016,1,9,5,1,1,1,0,0,0
2016-01-09,47,4971,2016,1,9,5,1,1,1,0,0,0
2016-01-09,48,4044,2016,1,9,5,1,1,1,0,0,0
2016-01-09,49,3396,2016,1,9,5,1,1,1,0,0,0
2016-01-09,50,3198,2016,1,9,5,1,1,1,0,0,0
2016-01-09,51,1924,2016,1,9,5,1,1,1,0,0,0
2016-01-09,53,1022,2016,1,9,5,1,1,1,0,0,0
2016-01-09,54,814,2016,1,9,5,1,1,1,0,0,0
2016-01-10,1,507,2016,1,10,6,1,1,1,0,0,0
2016-01-10,2,2064,2016,1,10,6,1,1,1,0,0,0
2016-01-10,3,3740,2016,1,10,6,1,1,1,0,0,0
2016-01-10,4,1770,2016,1,10,6,1,1,1,0,0,0
2016-01-10,5,1259,2016,1,10,6,1,1,1,0,0,0
2016-01-10,6,2219,2016,1,10,6,1,1,1,0,0,0
2016-01-10,7,1646,2016,1,10,6,1,1,1,0,0,0
2016-01-10,8,2767,2016,1,10,6,1,1,1,0,0,0
2016-01-10,9,2389,2016,1,10,6,1,1,1,0,0,0
2016-01-10,10,916,2016,1,10,6,1,1,1,0,0,0
2016-01-10,11,2887,2016,1,10,6,1,1,1,0,0,0
2016-01-10,12,1376,2016,1,10,6,1,1,1,0,0,0
2016-01-10,13,941,2016,1,10,6,1,1,1,0,0,0
2016-01-10,14,1280,2016,1,10,6,1,1,1,0,0,0
2016-01-10,15,1114,2016,1,10,6,1,1,1,0,0,0
2016-01-10,16,906,2016,1,10,6,1,1,1,0,0,0
2016-01-10,17,1648,2016,1,10,6,1,1,1,0,0,0
2016-01-10,18,1266,2016,1,10,6,1,1,1,0,0,0
2016-01-10,19,1223,2016,1,10,6,1,1,1,0,0,0
2016-01-10,20,2178,2016,1,10,6,1,1,1,0,0,0
2016-01-10,21,1513,2016,1,10,6,1,1,1,0,0,0
2016-01-10,22,685,2016,1,10,6,1,1,1,0,0,0
2016-01-10,23,1050,2016,1,10,6,1,1,1,0,0,0
2016-01-10,24,1829,2016,1,10,6,1,1,1,0,0,0
2016-01-10,25,895,2016,1,10,6,1,1,1,0,0,0
2016-01-10,26,590,2016,1,10,6,1,1,1,0,0,0
2016-01-10,27,1835,2016,1,10,6,1,1,1,0,0,0
2016-01-10,28,1505,2016,1,10,6,1,1,1,0,0,0
2016-01-10,29,1266,2016,1,10,6,1,1,1,0,0,0
2016-01-10,30,681,2016,1,10,6,1,1,1,0,0,0
2016-01-10,31,1650,2016,1,10,6,1,1,1,0,0,0
2016-01-10,32,614,2016,1,10,6,1,1,1,0,0,0
2016-01-10,33,1133,2016,1,10,6,1,1,1,0,0,0
2016-01-10,34,2096,2016,1,10,6,1,1,1,0,0,0
2016-01-10,35,715,2016,1,10,6,1,1,1,0,0,0
2016-01-10,36,1222,2016,1,10,6,1,1,1,0,0,0
2016-01-10,37,1132,2016,1,10,6,1,1,1,0,0,0
2016-01-10,38,2025,2016,1,10,6,1,1,1,0,0,0
2016-01-10,39,1578,2016,1,10,6,1,1,1,0,0,0
2016-01-10,40,1093,2016,1,10,6,1,1,1,0,0,0
2016-01-10,41,1238,2016,1,10,6,1,1,1,0,0,0
2016-01-10,42,1275,2016,1,10,6,1,1,1,0,0,0
2016-01-10,43,1300,2016,1,10,6,1,1,1,0,0,0
2016-01-10,44,5220,2016,1,10,6,1,1,1,0,0,0
2016-01-10,45,4551,2016,1,10,6,1,1,1,0,0,0
2016-01-10,46,4709,2016,1,10,6,1,1,1,0,0,0
2016-01-10,47,4943,2016,1,10,6,1,1,1,0,0,0
2016-01-10,48,4395,2016,1,10,6,1,1,1,0,0,0
2016-01-10,49,3399,2016,1,10,6,1,1,1,0,0,0
2016-01-10,50,2977,2016,1,10,6,1,1,1,0,0,0
2016-01-10,51,1909,2016,1,10,6,1,1,1,0,0,0
2016-01-10,53,1070,2016,1,10,6,1,1,1,0,0,0
2016-01-10,54,1134,2016,1,10,6,1,1,1,0,0,0
2016-01-11,1,1767,2016,1,11,0,2,0,1,0,0,0
2016-01-11,2,1920,2016,1,11,0,2,0,1,0,0,0
2016-01-11,3,2926,2016,1,11,0,2,0,1,0,0,0
2016-01-11,4,1429,2016,1,11,0,2,0,1,0,0,0
2016-01-11,5,1308,2016,1,11,0,2,0,1,0,0,0
2016-01-11,6,1696,2016,1,11,0,2,0,1,0,0,0
2016-01-11,7,1833,2016,1,11,0,2,0,1,0,0,0
2016-01-11,8,2730,2016,1,11,0,2,0,1,0,0,0
2016-01-11,9,1906,2016,1,11,0,2,0,1,0,0,0
2016-01-11,10,880,2016,1,11,0,2,0,1,0,0,0
2016-01-11,11,2118,2016,1,11,0,2,0,1,0,0,0
2016-01-11,12,1231,2016,1,11,0,2,0,1,0,0,0
2016-01-11,13,905,2016,1,11,0,2,0,1,0,0,0
2016-01-11,14,1436,2016,1,11,0,2,0,1,0,0,0
2016-01-11,15,1396,2016,1,11,0,2,0,1,0,0,0
2016-01-11,16,797,2016,1,11,0,2,0,1,0,0,0
2016-01-11,17,1341,2016,1,11,0,2,0,1,0,0,0
2016-01-11,18,1208,2016,1,11,0,2,0,1,0,0,0
2016-01-11,19,1207,2016,1,11,0,2,0,1,0,0,0
2016-01-11,20,1265,2016,1,11,0,2,0,1,0,0,0
2016-01-11,21,961,2016,1,11,0,2,0,1,0,0,0
2016-01-11,22,659,2016,1,11,0,2,0,1,0,0,0
2016-01-11,23,1002,2016,1,11,0,2,0,1,0,0,0
2016-01-11,24,2157,2016,1,11,0,2,0,1,0,0,0
2016-01-11,25,724,2016,1,11,0,2,0,1,0,0,0
2016-01-11,26,442,2016,1,11,0,2,0,1,0,0,0
2016-01-11,27,1305,2016,1,11,0,2,0,1,0,0,0
2016-01-11,28,911,2016,1,11,0,2,0,1,0,0,0
2016-01-11,29,956,2016,1,11,0,2,0,1,0,0,0
2016-01-11,30,693,2016,1,11,0,2,0,1,0,0,0
2016-01-11,31,1391,2016,1,11,0,2,0,1,0,0,0
2016-01-11,32,564,2016,1,11,0,2,0,1,0,0,0
2016-01-11,33,999,2016,1,11,0,2,0,1,0,0,0
2016-01-11,34,2016,2016,1,11,0,2,0,1,0,0,0
2016-01-11,35,660,2016,1,11,0,2,0,1,0,0,0
2016-01-11,36,1003,2016,1,11,0,2,0,1,0,0,0
2016-01-11,37,1402,2016,1,11,0,2,0,1,0,0,0
2016-01-11,38,1439,2016,1,11,0,2,0,1,0,0,0
2016-01-11,39,1310,2016,1,11,0,2,0,1,0,0,0
2016-01-11,40,1445,2016,1,11,0,2,0,1,0,0,0
2016-01-11,41,885,2016,1,11,0,2,0,1,0,0,0
2016-01-11,42,929,2016,1,11,0,2,0,1,0,0,0
2016-01-11,43,1286,2016,1,11,0,2,0,1,0,0,0
2016-01-11,44,3968,2016,1,11,0,2,0,1,0,0,0
2016-01-11,45,3262,2016,1,11,0,2,0,1,0,0,0
2016-01-11,46,2923,2016,1,11,0,2,0,1,0,0,0
2016-01-11,47,3548,2016,1,11,0,2,0,1,0,0,0
2016-01-11,48,2396,2016,1,11,0,2,0,1,0,0,0
2016-01-11,49,2590,2016,1,11,0,2,0,1,0,0,0
2016-01-11,50,2221,2016,1,11,0,2,0,1,0,0,0
2016-01-11,51,1534,2016,1,11,0,2,0,1,0,0,0
2016-01-11,53,799,2016,1,11,0,2,0,1,0,0,0
2016-01-11,54,827,2016,1,11,0,2,0,1,0,0,0
2016-01-12,1,1744,2016,1,12,1,2,0,1,0,0,0
2016-01-12,2,1863,2016,1,12,1,2,0,1,0,0,0
2016-01-12,3,2804,2016,1,12,1,2,0,1,0,0,0
